GEOID,NAME,variable,estimate,moe
0116600,"Collinsville town, Alabama",B19013_001,32303,8777
0116684,"Colony town, Alabama",B19013_001,38056,7988
0116744,"Columbia town, Alabama",B19013_001,35417,12338
0116768,"Columbiana city, Alabama",B19013_001,36583,15176
0116936,"Concord CDP, Alabama",B19013_001,77543,24742
0117176,"Coosada town, Alabama",B19013_001,50000,11190
0117368,"Cordova city, Alabama",B19013_001,29606,4562
0117704,"Cottondale CDP, Alabama",B19013_001,55603,11284
0117824,"Cottonwood town, Alabama",B19013_001,27941,4699
0117968,"County Line town, Alabama",B19013_001,46250,30882
0118040,"Courtland town, Alabama",B19013_001,39635,6884
0118088,"Cowarts town, Alabama",B19013_001,44808,4039
0118304,"Creola city, Alabama",B19013_001,45673,13671
0118856,"Crossville town, Alabama",B19013_001,42546,6133
0118952,"Cuba town, Alabama",B19013_001,51250,24006
0118976,"Cullman city, Alabama",B19013_001,48712,4411
0119024,"Cullomburg CDP, Alabama",B19013_001,65597,5930
0119216,"Cusseta town, Alabama",B19013_001,NA,NA
0119336,"Dadeville city, Alabama",B19013_001,24279,8709
0119360,"Daleville city, Alabama",B19013_001,41376,6934
0119648,"Daphne city, Alabama",B19013_001,71882,7985
0119744,"Dauphin Island town, Alabama",B19013_001,87596,15653
0119816,"Daviston town, Alabama",B19013_001,45000,13130
0119912,"Dayton town, Alabama",B19013_001,NA,NA
0120008,"Deatsville town, Alabama",B19013_001,79243,12087
0120104,"Decatur city, Alabama",B19013_001,48429,2477
0120152,"Deer Park CDP, Alabama",B19013_001,NA,NA
0120272,"Delta CDP, Alabama",B19013_001,108300,69084
0120296,"Demopolis city, Alabama",B19013_001,27279,6878
0120392,"Detroit town, Alabama",B19013_001,31250,13868
0120955,"Dodge City town, Alabama",B19013_001,45536,8287
0121136,"Dora city, Alabama",B19013_001,35536,3635
0121184,"Dothan city, Alabama",B19013_001,47081,1206
0121280,"Double Springs town, Alabama",B19013_001,26442,6987
0121328,"Douglas town, Alabama",B19013_001,36181,10670
0121448,"Dozier town, Alabama",B19013_001,21500,2654
0121890,"Dunnavant CDP, Alabama",B19013_001,45341,21357
0121952,"Dutton town, Alabama",B19013_001,46750,15731
0122216,"East Brewton city, Alabama",B19013_001,36696,8200
0122504,"East Point CDP, Alabama",B19013_001,68060,43879
0122816,"Eclectic town, Alabama",B19013_001,41563,6203
0123032,"Edgewater CDP, Alabama",B19013_001,37159,28234
0123176,"Edwardsville town, Alabama",B19013_001,44063,19698
0123224,"Egypt CDP, Alabama",B19013_001,41148,9371
0123296,"Elba city, Alabama",B19013_001,37134,7537
0123320,"Elberta town, Alabama",B19013_001,40278,6214
0123344,"Eldridge town, Alabama",B19013_001,55000,32750
0123488,"Elkmont town, Alabama",B19013_001,56944,12834
0123656,"Elmore town, Alabama",B19013_001,32386,9675
0123872,"Emelle town, Alabama",B19013_001,48000,39549
0123880,"Emerald Mountain CDP, Alabama",B19013_001,87177,15821
0124184,"Enterprise city, Alabama",B19013_001,62695,3672
0124256,"Epes town, Alabama",B19013_001,NA,NA
0124472,"Ethelsville town, Alabama",B19013_001,39167,35534
0124568,"Eufaula city, Alabama",B19013_001,33132,4952
0124616,"Eunola CDP, Alabama",B19013_001,45521,31176
0124664,"Eutaw town, Alabama",B19013_001,25716,6827
0124688,"Eva town, Alabama",B19013_001,76458,21126
0124808,"Evergreen city, Alabama",B19013_001,32602,8601
0124880,"Excel town, Alabama",B19013_001,66250,17113
0125120,"Fairfield city, Alabama",B19013_001,40652,1823
0125216,"Fairford CDP, Alabama",B19013_001,NA,NA
0125240,"Fairhope city, Alabama",B19013_001,75197,9303
0125384,"Fairview town, Alabama",B19013_001,42292,10572
0125648,"Falkville town, Alabama",B19013_001,42813,7216
0125816,"Faunsdale town, Alabama",B19013_001,NA,NA
0125840,"Fayette city, Alabama",B19013_001,33472,10168
0125864,"Fayetteville CDP, Alabama",B19013_001,55568,15868
0126152,"Fitzpatrick CDP, Alabama",B19013_001,NA,NA
0126200,"Five Points town, Alabama",B19013_001,33036,13681
0126824,"Flomaton town, Alabama",B19013_001,24662,4907
0126848,"Florala town, Alabama",B19013_001,27944,6537
0126896,"Florence city, Alabama",B19013_001,40526,2204
0126992,"Foley city, Alabama",B19013_001,43614,4846
0127088,"Forestdale CDP, Alabama",B19013_001,59041,4242
0127376,"Forkland town, Alabama",B19013_001,30156,9219
0127520,"Fort Deposit town, Alabama",B19013_001,34107,15628
0127616,"Fort Payne city, Alabama",B19013_001,40273,2384
0127640,"Fort Rucker CDP, Alabama",B19013_001,70024,10196
0128024,"Franklin town, Alabama",B19013_001,75139,35786
0128120,"Fredonia CDP, Alabama",B19013_001,52604,7300
0128312,"Frisco City town, Alabama",B19013_001,24583,17919
0128408,"Fruitdale CDP, Alabama",B19013_001,30714,30535
0128432,"Fruithurst town, Alabama",B19013_001,42917,6941
0128504,"Fulton town, Alabama",B19013_001,30455,19469
0128552,"Fultondale city, Alabama",B19013_001,62825,5754
0128672,"Fyffe town, Alabama",B19013_001,45962,6599
0128696,"Gadsden city, Alabama",B19013_001,32642,1954
0128768,"Gainesville town, Alabama",B19013_001,14028,7480
0128816,"Gallant CDP, Alabama",B19013_001,54844,46704
0128936,"Gantt town, Alabama",B19013_001,58250,34628
0129032,"Garden City town, Alabama",B19013_001,38365,6636
0129056,"Gardendale city, Alabama",B19013_001,72351,6123
0129296,"Gaylesville town, Alabama",B19013_001,52917,45132
0129392,"Geiger town, Alabama",B19013_001,37778,19912
0129464,"Geneva city, Alabama",B19013_001,42031,6320
0129560,"Georgiana town, Alabama",B19013_001,28750,7178
0129608,"Geraldine town, Alabama",B19013_001,42279,8369
0129704,"Gilbertown town, Alabama",B19013_001,51042,50533
0129944,"Glen Allen town, Alabama",B19013_001,40625,29971
0129992,"Glencoe city, Alabama",B19013_001,60290,8532
0130160,"Glenwood town, Alabama",B19013_001,39250,13926
0130448,"Goldville town, Alabama",B19013_001,NA,NA
0130496,"Good Hope city, Alabama",B19013_001,49761,4295
0130640,"Goodwater town, Alabama",B19013_001,25000,9875
0130736,"Gordo town, Alabama",B19013_001,31466,5584
0130760,"Gordon town, Alabama",B19013_001,33750,11221
0130808,"Gordonville town, Alabama",B19013_001,25179,13764
0130880,"Goshen town, Alabama",B19013_001,33309,4555
0131000,"Graham CDP, Alabama",B19013_001,NA,NA
0131024,"Grand Bay CDP, Alabama",B19013_001,69960,11701
0131096,"Grant town, Alabama",B19013_001,54821,10664
0131348,"Grayson Valley CDP, Alabama",B19013_001,52328,6900
0131384,"Graysville city, Alabama",B19013_001,39448,8968
0131720,"Greensboro city, Alabama",B19013_001,16591,13909
0131912,"Greenville city, Alabama",B19013_001,38004,2919
0132056,"Grimes town, Alabama",B19013_001,40595,6937
0132080,"Grove Hill town, Alabama",B19013_001,47626,12946
0132224,"Guin city, Alabama",B19013_001,24444,8586
0132248,"Gulfcrest CDP, Alabama",B19013_001,NA,NA
0132272,"Gulf Shores city, Alabama",B19013_001,53476,4799
0132416,"Guntersville city, Alabama",B19013_001,45198,4993
0132440,"Gurley town, Alabama",B19013_001,48438,16145
0132536,"Gu-Win town, Alabama",B19013_001,30000,27218
0132560,"Hackleburg town, Alabama",B19013_001,32917,6066
0132584,"Hackneyville CDP, Alabama",B19013_001,46979,33565
0132656,"Haleburg town, Alabama",B19013_001,80417,24842
0132704,"Haleyville city, Alabama",B19013_001,29496,6862
0132848,"Hamilton city, Alabama",B19013_001,39357,8262
0132896,"Hammondville town, Alabama",B19013_001,41250,20744
0132968,"Hanceville city, Alabama",B19013_001,32668,6416
0133256,"Harpersville town, Alabama",B19013_001,57639,19844
0133424,"Hartford city, Alabama",B19013_001,31400,9886
0133448,"Hartselle city, Alabama",B19013_001,59697,5041
0133472,"Harvest CDP, Alabama",B19013_001,83677,20246
0133544,"Hatton CDP, Alabama",B19013_001,61964,30781
0133640,"Hayden town, Alabama",B19013_001,57448,6125
0133712,"Hayneville town, Alabama",B19013_001,23036,8679
0133808,"Hazel Green CDP, Alabama",B19013_001,43269,9912
0133856,"Headland city, Alabama",B19013_001,62140,8415
0133904,"Heath town, Alabama",B19013_001,29167,13200
0133976,"Heflin city, Alabama",B19013_001,26786,8586
0134024,"Helena city, Alabama",B19013_001,87781,6620
0134096,"Henagar city, Alabama",B19013_001,39506,6594
0134480,"Highland Lake town, Alabama",B19013_001,60875,9597
0134490,"Highland Lakes CDP, Alabama",B19013_001,152774,19972
0134816,"Hillsboro town, Alabama",B19013_001,51500,29062
0134984,"Hissop CDP, Alabama",B19013_001,30231,8853
0135130,"Hobson CDP, Alabama",B19013_001,NA,NA
0135152,"Hobson City town, Alabama",B19013_001,34286,11639
0135200,"Hodges town, Alabama",B19013_001,43125,22333
0135392,"Hokes Bluff city, Alabama",B19013_001,49167,8484
0135512,"Hollins CDP, Alabama",B19013_001,38750,25251
0135536,"Hollis Crossroads CDP, Alabama",B19013_001,45278,21007
0135560,"Holly Pond town, Alabama",B19013_001,42917,6622
0135632,"Hollywood town, Alabama",B19013_001,40000,7726
0135704,"Holt CDP, Alabama",B19013_001,30000,5035
0135752,"Holtville CDP, Alabama",B19013_001,63059,10282
0135800,"Homewood city, Alabama",B19013_001,84157,8708
0135896,"Hoover city, Alabama",B19013_001,89452,4418
0136088,"Horn Hill town, Alabama",B19013_001,34500,10112
0136448,"Hueytown city, Alabama",B19013_001,51519,5216
0136592,"Huguley CDP, Alabama",B19013_001,41889,10324
0137000,"Huntsville city, Alabama",B19013_001,55305,1753
0137096,"Hurtsboro town, Alabama",B19013_001,40341,15941
0137264,"Hytop town, Alabama",B19013_001,52679,9901
0137312,"Ider town, Alabama",B19013_001,37019,6412
0137465,"Indian Springs Village city, Alabama",B19013_001,119091,16555
0137864,"Irondale city, Alabama",B19013_001,56445,7390
0138032,"Ivalee CDP, Alabama",B19013_001,41250,23621
0138152,"Jackson city, Alabama",B19013_001,40651,10906
0138248,"Jacksons' Gap town, Alabama",B19013_001,53750,16564
0138272,"Jacksonville city, Alabama",B19013_001,41268,4753
0138416,"Jasper city, Alabama",B19013_001,49201,8129
0138608,"Jemison city, Alabama",B19013_001,46328,7584
0139064,"Joppa CDP, Alabama",B19013_001,22132,20600
0139280,"Kansas town, Alabama",B19013_001,51250,50177
0139472,"Kellyton town, Alabama",B19013_001,50250,30156
0139520,"Kennedy town, Alabama",B19013_001,41786,7669
0139784,"Killen town, Alabama",B19013_001,54286,8798
0139856,"Kimberly city, Alabama",B19013_001,82647,10848
0140072,"Kinsey town, Alabama",B19013_001,43684,5817
0140096,"Kinston town, Alabama",B19013_001,35952,5775
0140648,"Ladonia CDP, Alabama",B19013_001,32177,12005
0140672,"La Fayette city, Alabama",B19013_001,31134,5781
0140888,"Lakeview town, Alabama",B19013_001,50500,22932
0140928,"Lake View town, Alabama",B19013_001,82455,9033
0141296,"Lanett city, Alabama",B19013_001,34363,6100
0141368,"Langston town, Alabama",B19013_001,46136,11307
0141968,"Leeds city, Alabama",B19013_001,60863,6088
0142016,"Leesburg town, Alabama",B19013_001,50139,10029
0142160,"Leighton town, Alabama",B19013_001,35357,7173
0142304,"Leroy CDP, Alabama",B19013_001,NA,NA
0142352,"Lester town, Alabama",B19013_001,42083,17308
0142472,"Level Plains town, Alabama",B19013_001,60969,13872
0142640,"Lexington town, Alabama",B19013_001,49583,5200
0142808,"Libertyville town, Alabama",B19013_001,61000,18239
0142928,"Lillian CDP, Alabama",B19013_001,54362,4180
0143120,"Lincoln city, Alabama",B19013_001,64924,9068
0143240,"Linden city, Alabama",B19013_001,37955,12821
0143264,"Lineville city, Alabama",B19013_001,34099,7833
0143336,"Lipscomb city, Alabama",B19013_001,31629,8787
0143384,"Lisman town, Alabama",B19013_001,33214,28054
0143648,"Littleville town, Alabama",B19013_001,43214,7021
0143720,"Livingston city, Alabama",B19013_001,11969,7502
0143744,"Loachapoka town, Alabama",B19013_001,55250,27965
0143816,"Lockhart town, Alabama",B19013_001,31518,11316
0143888,"Locust Fork town, Alabama",B19013_001,57344,12320
0144160,"Lookout Mountain CDP, Alabama",B19013_001,39559,23021
0144344,"Louisville town, Alabama",B19013_001,21600,5771
0144536,"Lowndesboro town, Alabama",B19013_001,57679,24168
0144608,"Loxley town, Alabama",B19013_001,61875,13616
0144728,"Luverne city, Alabama",B19013_001,45671,6462
0144800,"Lynn town, Alabama",B19013_001,32031,9780
0145208,"McDonald Chapel CDP, Alabama",B19013_001,25833,9517
0145316,"Macedonia CDP, Alabama",B19013_001,NA,NA
0145472,"McIntosh town, Alabama",B19013_001,52344,43244
0145496,"McKenzie town, Alabama",B19013_001,35625,8222
0145640,"McMullen town, Alabama",B19013_001,20000,18199
0145784,"Madison city, Alabama",B19013_001,99188,5840
0145904,"Madrid town, Alabama",B19013_001,58750,24165
0146072,"Magnolia Springs town, Alabama",B19013_001,63295,16805
0146192,"Malcolm CDP, Alabama",B19013_001,NA,NA
0146264,"Malvern town, Alabama",B19013_001,41554,9450
0146504,"Maplesville town, Alabama",B19013_001,41071,13142
0146600,"Marbury CDP, Alabama",B19013_001,44172,36954
0146696,"Margaret town, Alabama",B19013_001,72200,26233
0146768,"Marion city, Alabama",B19013_001,22662,5701
0147728,"Maytown town, Alabama",B19013_001,57589,7069
0147740,"Meadowbrook CDP, Alabama",B19013_001,109650,12954
0147848,"Megargel CDP, Alabama",B19013_001,NA,NA
0148052,"Memphis town, Alabama",B19013_001,NA,NA
0148064,"Mentone town, Alabama",B19013_001,40250,21326
0148112,"Meridianville CDP, Alabama",B19013_001,80476,4920
0148376,"Midfield city, Alabama",B19013_001,38750,6347
0148400,"Midland City town, Alabama",B19013_001,27895,8215
0148424,"Midway town, Alabama",B19013_001,25125,6256
0148616,"Mignon CDP, Alabama",B19013_001,30586,7425
0148712,"Millbrook city, Alabama",B19013_001,62839,8531
0148784,"Millerville CDP, Alabama",B19013_001,34286,19137
0148808,"Millport town, Alabama",B19013_001,31648,9399
0148832,"Millry town, Alabama",B19013_001,37250,9276
0149072,"Minor CDP, Alabama",B19013_001,56681,7558
0150000,"Mobile city, Alabama",B19013_001,42321,1065
0150192,"Monroeville city, Alabama",B19013_001,31491,6975
0150312,"Montevallo city, Alabama",B19013_001,49650,11364
0151000,"Montgomery city, Alabama",B19013_001,48011,1207
0151096,"Moody city, Alabama",B19013_001,63607,3385
0151216,"Moores Mill CDP, Alabama",B19013_001,73236,8770
0151264,"Mooresville town, Alabama",B19013_001,130000,58954
0151456,"Morris town, Alabama",B19013_001,76307,11892
0151469,"Morrison Crossroads CDP, Alabama",B19013_001,20806,7750
0151520,"Mosses town, Alabama",B19013_001,24410,2711
0151600,"Moulton city, Alabama",B19013_001,32775,5066
0151648,"Moundville town, Alabama",B19013_001,53854,4500
0151696,"Mountain Brook city, Alabama",B19013_001,152355,13209
0152320,"Mount Olive CDP (Coosa County), Alabama",B19013_001,40893,16581
0152344,"Mount Olive CDP (Jefferson County), Alabama",B19013_001,73500,14820
0152608,"Mount Vernon town, Alabama",B19013_001,37269,11375
0152680,"Movico CDP, Alabama",B19013_001,62115,35345
0152776,"Mulga town, Alabama",B19013_001,36875,7204
0152848,"Munford town, Alabama",B19013_001,31905,19801
0153016,"Muscle Shoals city, Alabama",B19013_001,60629,6411
0153112,"Myrtlewood town, Alabama",B19013_001,45694,12413
0153208,"Nanafalia CDP, Alabama",B19013_001,NA,NA
0153232,"Nances Creek CDP, Alabama",B19013_001,54357,50900
0153256,"Napier Field town, Alabama",B19013_001,32500,15859
0153376,"Natural Bridge town, Alabama",B19013_001,NA,NA
0153400,"Nauvoo town, Alabama",B19013_001,33438,6261
0153448,"Nectar town, Alabama",B19013_001,45750,14217
0153472,"Needham town, Alabama",B19013_001,38125,28705
0153784,"Newbern town, Alabama",B19013_001,17917,12269
0153856,"New Brockton town, Alabama",B19013_001,51625,9631
0154168,"New Hope city, Alabama",B19013_001,55764,10324
0154312,"New Market CDP, Alabama",B19013_001,61696,27109
0154432,"New Site town, Alabama",B19013_001,52232,7006
0154480,"Newton town, Alabama",B19013_001,54931,9762
0154582,"New Union CDP, Alabama",B19013_001,47188,12252
0154600,"Newville town, Alabama",B19013_001,28750,7815
0155044,"North Courtland town, Alabama",B19013_001,22386,11371
0155152,"North Johns town, Alabama",B19013_001,33750,15520
0155200,"Northport city, Alabama",B19013_001,59836,5475
0155440,"Notasulga town, Alabama",B19013_001,36970,12042
0155752,"Oak Grove town, Alabama",B19013_001,55000,12549
0155848,"Oak Hill town, Alabama",B19013_001,NA,NA
0155992,"Oakman town, Alabama",B19013_001,19500,8088
0156400,"Odenville town, Alabama",B19013_001,82582,6468
0156472,"Ohatchee town, Alabama",B19013_001,53277,7145
0157000,"Oneonta city, Alabama",B19013_001,39669,7128
0157024,"Onycha town, Alabama",B19013_001,16250,12309
0157048,"Opelika city, Alabama",B19013_001,48459,3547
0157120,"Opp city, Alabama",B19013_001,36609,2080
0157144,"Orange Beach city, Alabama",B19013_001,81883,9982
0157240,"Orrville town, Alabama",B19013_001,14118,2545
0157384,"Our Town CDP, Alabama",B19013_001,62019,28788
0157504,"Owens Cross Roads town, Alabama",B19013_001,63654,16008
0157576,"Oxford city, Alabama",B19013_001,57887,6001
0157648,"Ozark city, Alabama",B19013_001,41027,3408
0157696,"Paint Rock town, Alabama",B19013_001,35000,15323
0157912,"Panola CDP, Alabama",B19013_001,NA,NA
0158272,"Parrish town, Alabama",B19013_001,35625,6646
0158848,"Pelham city, Alabama",B19013_001,80510,4676
0158896,"Pell City city, Alabama",B19013_001,54674,4279
0158968,"Pennington town, Alabama",B19013_001,35893,21112
0159016,"Penton CDP, Alabama",B19013_001,25530,25004
0159064,"Perdido CDP, Alabama",B19013_001,43026,15086
0159088,"Perdido Beach town, Alabama",B19013_001,48750,15085
0159232,"Peterman CDP, Alabama",B19013_001,NA,NA
0159328,"Petrey town, Alabama",B19013_001,56146,1660
0159472,"Phenix City city, Alabama",B19013_001,42089,2850
0159496,"Phil Campbell town, Alabama",B19013_001,27670,8796
0159592,"Pickensville town, Alabama",B19013_001,40313,11234
0159640,"Piedmont city, Alabama",B19013_001,39074,7076
0159760,"Pike Road town, Alabama",B19013_001,102734,8026
0159832,"Pinckard town, Alabama",B19013_001,34904,15037
0159880,"Pine Apple town, Alabama",B19013_001,35104,14415
0160240,"Pine Hill town, Alabama",B19013_001,27321,11109
0160264,"Pine Level CDP, Alabama",B19013_001,70952,24391
0160372,"Pine Ridge town, Alabama",B19013_001,43750,14863
0160648,"Pinson city, Alabama",B19013_001,69764,6780
0160720,"Pisgah town, Alabama",B19013_001,29375,11240
0161008,"Pleasant Grove city, Alabama",B19013_001,70526,12403
0161038,"Pleasant Groves town, Alabama",B19013_001,50500,8356
0161488,"Point Clear CDP, Alabama",B19013_001,56556,16356
0161536,"Pollard town, Alabama",B19013_001,36250,34771
0162075,"Powell town, Alabama",B19013_001,44063,7793
0162328,"Prattville city, Alabama",B19013_001,61110,3754
0162472,"Priceville town, Alabama",B19013_001,91797,7135
0162496,"Prichard city, Alabama",B19013_001,29009,3034
0162688,"Providence town, Alabama",B19013_001,57250,18830
0162952,"Putnam CDP, Alabama",B19013_001,NA,NA
0163216,"Ragland town, Alabama",B19013_001,36875,9287
0163288,"Rainbow City city, Alabama",B19013_001,50547,5496
0163336,"Rainsville city, Alabama",B19013_001,33295,4985
0163408,"Ranburne town, Alabama",B19013_001,43958,7215
0163495,"Ray CDP, Alabama",B19013_001,40909,16054
0163576,"Red Bay city, Alabama",B19013_001,35724,6588
0163730,"Redland CDP, Alabama",B19013_001,113156,13693
0163768,"Red Level town, Alabama",B19013_001,47321,20347
0163912,"Redstone Arsenal CDP, Alabama",B19013_001,89712,9523
0163984,"Reece City town, Alabama",B19013_001,51000,9860
0164040,"Reeltown CDP, Alabama",B19013_001,30288,13538
0164104,"Reform town, Alabama",B19013_001,27391,9690
0164152,"Rehobeth town, Alabama",B19013_001,55486,10473
0164368,"Repton town, Alabama",B19013_001,36250,6249
0164656,"Ridgeville town, Alabama",B19013_001,26667,11961
0164776,"River Falls town, Alabama",B19013_001,34917,22481
0164920,"Riverside city, Alabama",B19013_001,58517,6122
0165016,"Riverview town, Alabama",B19013_001,33333,8135
0165040,"Roanoke city, Alabama",B19013_001,42069,7839
0165208,"Robertsdale city, Alabama",B19013_001,43906,8375
0165412,"Rock Creek CDP, Alabama",B19013_001,61655,6716
0165472,"Rockford town, Alabama",B19013_001,25625,13308
0165592,"Rock Mills CDP, Alabama",B19013_001,30083,25507
0165784,"Rockville CDP, Alabama",B19013_001,NA,NA
0166216,"Rogersville town, Alabama",B19013_001,37578,8399
0166408,"Rosa town, Alabama",B19013_001,55500,28772
0167056,"Russellville city, Alabama",B19013_001,43358,2439
0167176,"Rutledge town, Alabama",B19013_001,50125,20484
0167536,"St. Florian town, Alabama",B19013_001,57083,27067
0167584,"St. Stephens CDP, Alabama",B19013_001,43780,19125
0167608,"Saks CDP, Alabama",B19013_001,39336,5264
0167800,"Samson city, Alabama",B19013_001,25250,3156
0167920,"Sand Rock town, Alabama",B19013_001,53571,6086
0168016,"Sanford town, Alabama",B19013_001,34063,33135
0168160,"Saraland city, Alabama",B19013_001,60633,5629
0168280,"Sardis City town, Alabama",B19013_001,59643,7107
0168352,"Satsuma city, Alabama",B19013_001,64348,9424
0168736,"Scottsboro city, Alabama",B19013_001,42651,3707
0169000,"Section town, Alabama",B19013_001,32212,15275
